City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
589,Muisne,EC,73.65,overcast clouds,0.6,-80.0333,Quinta Samay
591,Lodja,CD,67.05,overcast clouds,-3.4833,23.4333,
593,Casablanca,MA,68.32,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
594,Mooresville,US,69.03,clear sky,35.5849,-80.8101,Fairfield Inn Charlotte Mooresville/Lake Norman
595,Weston,US,80.98,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
596,Pascagoula,US,72.41,mist,30.3658,-88.5561,Regency Inn
597,Mangrol,IN,77.16,few clouds,21.1167,70.1167,Hotel The Royal Honours
598,Vangaindrano,MG,71.38,overcast clouds,-23.35,47.6,Hotel Fanilo
599,Gboko,NG,73.47,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
608,Dinguiraye,GN,72.77,overcast clouds,11.3,-10.7167,
609,Matola,MZ,66.6,scattered clouds,-25.9622,32.4589,Guesthouse Yuba
610,Soyo,AO,76.98,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
612,Safaga,EG,71.87,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
614,Bagotville,AU,74.86,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
617,Nanuque,BR,66.38,overcast clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
618,Nicoya,CR,73.44,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
628,Cockburn Town,TC,75.22,moderate rain,21.4612,-71.1419,Osprey Beach Hotel
629,Santa Rosa,PH,88.09,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
633,East Brunswick,US,71.35,clear sky,40.4279,-74.416,SureStay Hotel By Best Western East Brunswick
634,Macae,BR,65.28,scattered clouds,-22.3708,-41.7869,Golden Tulip Macaé
636,Iracoubo,GF,77.29,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
641,Ouro Preto Do Oeste,BR,75.78,few clouds,-10.7481,-62.2158,Graúna Resort Hotel
643,San Felipe,VE,71.44,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
649,Esmeralda,CU,73.54,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
650,Carutapera,BR,75.43,overcast clouds,-1.195,-46.02,Lidera
652,Crato,BR,72.95,broken clouds,-7.2342,-39.4094,Flats Grangeiro
653,Waw,SS,73.2,overcast clouds,7.7029,27.9953,Universal Gab Hotel
654,Tuscaloosa,US,70.21,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
656,Juba,SS,70.95,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
659,Mosetse,BW,71.55,broken clouds,-20.75,26.65,
660,Gogrial,SS,74.25,overcast clouds,8.5332,28.1004,
661,Kerouane,GN,71.17,overcast clouds,9.2667,-9.0167,Hotel Seka Seka
662,Machico,PT,67.71,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
663,Kano,NG,71.35,overcast clouds,12.0001,8.5167,Royal Tropicana Hotel
665,Tsaratanana,MG,73.09,scattered clouds,-16.7833,47.65,
666,Pasni,PK,77.14,light rain,25.2631,63.471,Kashmiri Hotal
668,Caibarien,CU,74.52,clear sky,22.5206,-79.4669,La Nena
669,Linhares,BR,65.37,overcast clouds,-19.3911,-40.0722,Hotel Conceição
672,Lake City,US,74.91,clear sky,30.1897,-82.6393,Ramada Limited Lake City
673,Kintinku,TZ,71.92,broken clouds,-5.8833,35.2333,
676,Nisia Floresta,BR,79.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
678,Jacareacanga,BR,78.46,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
679,Key Largo,US,80.01,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
680,Guarapari,BR,69.89,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
681,Asuncion,PY,69.24,few clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
683,Mutata,CO,73.65,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
685,Mokolo,CM,69.57,broken clouds,10.7398,13.8019,Diwa Hôtel
686,Kasane,BW,69.58,overcast clouds,-17.8167,25.15,The Old House
